Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot37,"Арсений Боровков",easy,70,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","17:21:24","17:22:32",
Bot38,"Glen Frisina",normal,4,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","2","17:21:24","17:23:21",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","17:21:24","17:21:37",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","17:21:42","17:21:56",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","17:22:01","17:22:42",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","17:22:47","17:23:42",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Completed,"Silos","Silos: Objective #1","1","17:23:47","17:24:32",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Completed,"Weapon Crates outside Office","Weapon Crates outside Office: Objective #1","1","17:24:37","17:25:10",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","17:25:15","17:25:43",
Bot39,"Карлуша Цинк (Ervin)",easy,1,Pending,"1st Floor Office","1st Floor Office: Objective #1","2","17:25:48","N/A",
Bot40,"Гриша Дробь (Dennis)",normal,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","17:21:24","17:22:11",
Bot40,"Гриша Дробь (Dennis)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","17:22:16","17:22:32",
Bot40,"Гриша Дробь (Dennis)",normal,1,Failed,"1st Floor Office","1st Floor Office: Objective #1","2","17:22:37","17:23:06",
Bot41,"Леоня Фикус (Fritz)",normal,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","17:21:34","17:22:17",
Bot41,"Леоня Фикус (Fritz)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","17:22:22","17:22:55",
Bot41,"Леоня Фикус (Fritz)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","17:23:00","17:23:11",
Bot41,"Леоня Фикус (Fritz)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","17:23:16","17:24:06",
Bot41,"Леоня Фикус (Fritz)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","17:24:11","17:24:43",
Bot41,"Леоня Фикус (Fritz)",normal,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","17:24:48","17:24:53",
Bot41,"Леоня Фикус (Fritz)",normal,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","17:24:58","17:26:12",
Bot42,"Арни Сова (Abel)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","17:22:34","17:23:43",
Bot42,"Арни Сова (Abel)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","17:23:48","17:23:53",
Bot42,"Арни Сова (Abel)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","17:23:58","17:24:03",
Bot42,"Арни Сова (Abel)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","17:24:08","17:24:21",
Bot42,"Арни Сова (Abel)",normal,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","17:24:26","17:24:53",
Bot44,"Диман Вроттердам (Cory)",hard,1,Pending,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","17:23:45","N/A",
Bot43,"Батыр Шпала (Oscar)",hard,1,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","17:23:45","17:24:03",
Bot43,"Батыр Шпала (Oscar)",hard,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","17:24:08","17:24:40",
Bot43,"Батыр Шпала (Oscar)",hard,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","17:24:45","17:25:15",
Bot43,"Батыр Шпала (Oscar)",hard,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","17:25:20","17:25:45",
Bot43,"Батыр Шпала (Oscar)",hard,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","17:25:50","17:26:15",
Bot43,"Батыр Шпала (Oscar)",hard,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","17:26:20","17:26:26",
Bot45,"Володарчик Небоскрёб (Timothy)",normal,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","17:27:01","17:27:39",
Bot45,"Володарчик Небоскрёб (Timothy)",normal,1,Completed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","17:27:44","17:28:03",
Bot45,"Володарчик Небоскрёб (Timothy)",normal,1,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","17:28:08","N/A",
Bot46,"Лёва Провокация (Jerald)",easy,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","17:27:11","17:27:22",
Bot46,"Лёва Провокация (Jerald)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","17:27:27","17:27:50",
Bot46,"Лёва Провокация (Jerald)",easy,1,Active,"Basement Crates","Basement Crates: Objective #1","1","17:27:55","N/A",
[Not Spawned],"Тимурка Шугаринг (Sammy)",normal,1,,,,,,,
