Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Joel Eberhardt",hard,8,Failed,"Repair Shop","Repair Shop: Objective #4","1","07:32:04","07:32:21",
Bot2,"Святослав Быков",normal,9,Completed,"Checkpoint","Checkpoint: Objective #2","1","07:32:04","07:33:01",
Bot2,"Святослав Быков",normal,9,Completed,"Checkpoint","Checkpoint: Objective #1","1","07:33:06","07:33:47",
Bot2,"Святослав Быков",normal,9,Failed,"BP Depot","Zone fuel1","1","07:33:53","07:34:46",
Bot3,"Armand Vizcarra",normal,8,Failed,"BP Depot","Zone fuel1","1","07:32:05","07:52:35",
Bot3,"Armand Vizcarra",normal,8,Active,"BP Depot","Zone fuel3","1","07:52:40","N/A",
Bot4,"Taylor Yancey",normal,24,Active,"Big Customer","Zone gazel","1","07:32:06","N/A",
Bot5,"Michael Macleod",normal,7,Pending,"Operation Aquarius - Part 1","Zone room206_water","1","07:32:07","N/A",
Bot6,"Malcom Havard",normal,44,Completed,"Smokestack","Smokestack: Objective #1","1","07:32:08","07:32:11",
Bot6,"Malcom Havard",normal,44,Pending,"Smokestack","Smokestack: Objective #2","1","07:32:16","N/A",
Bot7,"Dan Wason",normal,25,Pending,"Big Customer","Zone gazel","1","07:32:09","N/A",
Bot9,"Емельян Лобачевский",hard,15,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","07:32:26","07:33:19",
Bot9,"Емельян Лобачевский",hard,15,Failed,"Golden Swag","Item Golden Zibbo lighter","1","07:33:20","07:34:49",
[Not Spawned],"Елизар Магомедов",normal,18,,,,,,,
[Not Spawned],"Wilbert Steadman",hard,35,,,,,,,
[Not Spawned],"Найк Тамада (Cornelius)",hard,1,,,,,,,
[Not Spawned],"Тёма Боров (Дмитрий)",normal,1,,,,,,,
[Not Spawned],"Ашот Мрачный (Mauro)",normal,1,,,,,,,
[Not Spawned],"Сява Окунь (Bill)",hard,1,,,,,,,
[Not Spawned],"Костыль Шрек (Dewitt)",easy,1,,,,,,,
[Not Spawned],"Колян Тактический (Аристарх)",normal,1,,,,,,,
[Not Spawned],"Кирилл СССР (Lucius)",hard,1,,,,,,,
[Not Spawned],"Пуш Херпроссы (Alfredo)",normal,1,,,,,,,
[Not Spawned],"Колька Потный (Jack)",impossible,1,,,,,,,
[Not Spawned],"Родион Бородач (Jed)",normal,1,,,,,,,
[Not Spawned],"Платон Рэйдж (Kris)",normal,1,,,,,,,
[Not Spawned],"Русик Стамеска (Jewell)",easy,1,,,,,,,
[Not Spawned],"Парфений Мерс (Rodger)",easy,1,,,,,,,
[Not Spawned],"Пул Панкреатит (Hyman)",easy,1,,,,,,,
[Not Spawned],"Петька Копирайтер (Alton)",normal,1,,,,,,,
[Not Spawned],"Яков Винторез (Gerardo)",easy,1,,,,,,,
[Not Spawned],"Изя Шнырь (Scott)",normal,1,,,,,,,
[Not Spawned],"Паисий Киба (Everett)",easy,1,,,,,,,
