Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot90,"Тарас Халипов",normal,19,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","20:01:49","20:02:31",
Bot90,"Тарас Халипов",normal,19,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","20:02:36","20:03:05",
Bot90,"Тарас Халипов",normal,19,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","20:03:10","20:03:42",
Bot90,"Тарас Халипов",normal,19,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","20:03:47","20:04:01",
Bot90,"Тарас Халипов",normal,19,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","20:04:07","20:04:14",
Bot90,"Тарас Халипов",normal,19,Completed,"Chemical - Part 3","Item Syringe with a chemical","1","20:04:19","20:04:39",
Bot90,"Тарас Халипов",normal,19,Failed,"Postman Pat - Part 1","Item Sealed letter","1","20:04:44","20:05:10",
Bot91,"Прохор Лягушкин",normal,13,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","20:01:49","20:09:45",
Bot92,"Олег Лаврентьев",easy,12,Completed,"Scout","Zone place_pacemaker_SCOUT_01","1","20:01:49","20:02:01",
Bot92,"Олег Лаврентьев",easy,12,Completed,"Scout","Zone place_pacemaker_SCOUT_04","1","20:02:07","20:03:10",
Bot92,"Олег Лаврентьев",easy,12,Completed,"Scout","Zone place_pacemaker_SCOUT_02","1","20:03:15","20:04:02",
Bot92,"Олег Лаврентьев",easy,12,Completed,"Scout","Zone place_pacemaker_SCOUT_03","1","20:04:07","20:07:17",
Bot92,"Олег Лаврентьев",easy,12,Completed,"Delivery From the Past","Zone case_extraction","2","20:07:22","20:07:47",
Bot92,"Олег Лаврентьев",easy,12,Completed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","20:07:52","20:10:40",
Bot93,"Milford Leo",hard,22,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","20:01:49","20:02:03",
Bot94,"Толян Тихий (Owen)",hard,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","20:04:20","20:04:31",
Bot94,"Толян Тихий (Owen)",hard,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","20:04:36","20:05:06",
Bot94,"Толян Тихий (Owen)",hard,1,Completed,"Med Tent","Med Tent: Objective #1","2","20:05:11","20:06:15",
Bot94,"Толян Тихий (Owen)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","20:06:20","20:06:38",
Bot94,"Толян Тихий (Owen)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","20:06:43","20:06:51",
Bot94,"Толян Тихий (Owen)",hard,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","20:06:56","20:07:05",
Bot94,"Толян Тихий (Owen)",hard,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","20:07:10","20:07:39",
Bot94,"Толян Тихий (Owen)",hard,1,Failed,"Weapon Crates outside Office","Weapon Crates outside Office: Objective #1","1","20:07:44","20:08:45",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","20:05:50","20:07:11",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","20:07:16","20:07:42",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","20:07:47","20:08:09",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","20:08:14","20:08:35",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","20:08:41","20:09:08",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","20:09:13","20:09:19",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","20:09:24","20:09:41",
Bot95,"Батыр Резолв (Burt)",easy,1,Completed,"Silos","Silos: Objective #1","1","20:09:47","20:10:08",
Bot96,"Тарас Злыдень (Francesco)",normal,1,Failed,"Basement Crates","Basement Crates: Objective #1","1","20:06:00","20:06:12",
Bot98,"Анатолий Чебур (Jimmy)",easy,1,Failed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","20:10:21","20:12:33",
Bot97,"Максим Палач (Ian)",easy,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","20:10:21","20:11:48",
Bot97,"Максим Палач (Ian)",easy,1,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","20:11:54","20:12:25",
Bot99,"Лёха Дерзкий (Георгий)",hard,1,Completed,"Dumpster Hiding","Dumpster Hiding: Objective #1","2","20:11:11","20:13:34",
Bot99,"Лёха Дерзкий (Георгий)",hard,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","20:13:39","20:13:43",
Bot99,"Лёха Дерзкий (Георгий)",hard,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","20:13:49","20:14:19",
Bot99,"Лёха Дерзкий (Георгий)",hard,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","20:14:25","20:15:45",
Bot99,"Лёха Дерзкий (Георгий)",hard,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","20:15:50","20:16:11",
Bot99,"Лёха Дерзкий (Георгий)",hard,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","20:16:16","20:16:50",
Bot100,"Мелентий Пятно (Сильвестр)",normal,1,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","20:13:12","20:13:50",
Bot101,"Кайл Шашлыки (Matt)",easy,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","20:14:42","20:14:54",
