Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Феликс Чупов",hard,22,Completed,"Steady Signal","Zone q14_8_1","1","15:39:54","15:40:23",
Bot1,"Феликс Чупов",hard,22,Completed,"Steady Signal","Zone q14_8_3","1","15:40:28","15:42:53",
Bot1,"Феликс Чупов",hard,22,Failed,"Steady Signal","Zone q14_8_2","1","15:42:58","15:44:06",
Bot2,"Henry Bresnahan",normal,17,Completed,"Steady Signal","Zone q14_8_4","1","15:39:54","15:41:40",
Bot2,"Henry Bresnahan",normal,17,Failed,"Steady Signal","Zone q14_8_5","1","15:41:45","15:45:45",
Bot4,"Аркадий Жиглов",impossible,18,Completed,"Steady Signal","Zone q14_8_3","1","15:39:54","15:41:29",
Bot4,"Аркадий Жиглов",impossible,18,Completed,"Steady Signal","Zone q14_8_2","1","15:41:34","15:43:57",
Bot4,"Аркадий Жиглов",impossible,18,Completed,"Steady Signal","Zone q14_8_5","1","15:44:02","15:54:44",
Bot4,"Аркадий Жиглов",impossible,18,Completed,"Scav Base","Scav Base: Objective #2","4","15:54:49","15:58:29",
Bot4,"Аркадий Жиглов",impossible,18,Completed,"Scav Base","Scav Base: Objective #3","1","15:58:34","16:00:24",
Bot4,"Аркадий Жиглов",impossible,18,Completed,"Scav Base","Scav Base: Objective #4","2","16:00:29","16:01:11",
Bot4,"Аркадий Жиглов",impossible,18,Pending,"Scav Base","Scav Base: Objective #1","2","16:01:16","N/A",
Bot3,"Diego Alves",normal,24,Failed,"Gratitude","Zone place_THX_15","1","15:39:54","15:45:27",
Bot5,"Николай Шастин",impossible,36,Pending,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","15:39:55","N/A",
[Not Spawned],"Laverne Bellew",normal,19,,,,,,,
[Not Spawned],"Austin Tavares",normal,11,,,,,,,
[Not Spawned],"Demetrius Wertz",normal,14,,,,,,,
[Not Spawned],"Harley Fontaine",normal,21,,,,,,,
[Not Spawned],"Jaylon Frausto",hard,38,,,,,,,
[Not Spawned],"Ефим Устюжанин",normal,26,,,,,,,
[Not Spawned],"Desh Счастливцев",normal,11,,,,,,,
[Not Spawned],"Пётр Поехавший (Brock)",normal,1,,,,,,,
[Not Spawned],"Арсен Торч (Lou)",normal,1,,,,,,,
[Not Spawned],"Тима Полторашка (Захар)",hard,1,,,,,,,
[Not Spawned],"Мэн Табурет (Eliseo)",easy,1,,,,,,,
[Not Spawned],"Сява Всемогущий (Herb)",hard,1,,,,,,,
[Not Spawned],"Рауль Киба (Tony)",normal,1,,,,,,,
[Not Spawned],"Арчи Заводской (Darrick)",easy,1,,,,,,,
[Not Spawned],"Ильнур Тамада (Louie)",normal,1,,,,,,,
[Not Spawned],"Гена Шпингалет (Guy)",normal,1,,,,,,,
[Not Spawned],"Лаша Пшеничка (Enoch)",normal,1,,,,,,,
[Not Spawned],"Матвей Сатанист (Arnoldo)",easy,1,,,,,,,
[Not Spawned],"Данила Котовод (Lee)",easy,1,,,,,,,
[Not Spawned],"Савва Сиська (Trenton)",normal,1,,,,,,,
[Not Spawned],"Виктор Неформал (Darius)",easy,1,,,,,,,
[Not Spawned],"Максим Корешок (Andreas)",easy,1,,,,,,,
[Not Spawned],"Офицерский Пупкин (Grady)",easy,1,,,,,,,
[Not Spawned],"Родион Рама (Ellsworth)",easy,1,,,,,,,
[Not Spawned],"Сёма Пуэрщик (Ali)",normal,1,,,,,,,
[Not Spawned],"Шурик Водолаз (Doyle)",hard,1,,,,,,,
[Not Spawned],"Тима Шпингалет (Кондратий)",normal,1,,,,,,,
[Not Spawned],"Игорян Петух (Демиан)",normal,1,,,,,,,
