Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot58,"Giovanni Tyree",impossible,39,Pending,"Power Station Roof","Power Station Roof: Objective #3","1","19:34:49","N/A",
Bot56,"Lucien Weymouth",impossible,44,Completed,"Power Station","Power Station: Objective #2","2","19:34:49","19:35:28",
Bot56,"Lucien Weymouth",impossible,44,Completed,"Power Station","Power Station: Objective #1","3","19:35:34","19:36:35",
Bot56,"Lucien Weymouth",impossible,44,Active,"Power Station Stashes","Power Station Stashes: Objective #3","1","19:36:40","N/A",
Bot59,"Isaac Dangelo",normal,38,Failed,"Hot Delivery","Zone place_merch_020_1","1","19:34:49","19:37:07",
Bot57,"Otto Timm",impossible,11,Completed,"Power Station","Power Station: Objective #2","1","19:34:49","19:35:02",
Bot63,"Adalberto Barrientes",hard,16,Pending,"OLI Showroom Center","OLI Showroom Center: Objective #5","1","19:34:49","N/A",
Bot61,"Эдуард Истомин",easy,44,Pending,"Hot Delivery","Zone place_merch_020_2","1","19:34:49","N/A",
Bot60,"Демьян Сергеев",easy,17,Failed,"Pharmacy","Pharmacy: Objective #1","1","19:34:49","19:36:26",
Bot60,"Демьян Сергеев",easy,17,Active,"Big Sale","Zone place_SALE_03_TREND","1","19:36:31","N/A",
Bot62,"Johnathon Daigneault",hard,18,Active,"Database - Part 1","Item OLI cargo manifests","1","19:34:49","N/A",
[Not Spawned],"Нойс Колпак (Santos)",hard,1,,,,,,,
[Not Spawned],"Альберт Газобетон (Antony)",normal,1,,,,,,,
[Not Spawned],"Влад Шнек (Tommie)",easy,1,,,,,,,
[Not Spawned],"Паша Верстак (Donny)",hard,1,,,,,,,
[Not Spawned],"Эдуард Бубеш (Валерий)",hard,1,,,,,,,
[Not Spawned],"Радж Котовод (Garth)",hard,1,,,,,,,
[Not Spawned],"Андрей Клюй (Emery)",easy,1,,,,,,,
[Not Spawned],"Виктор Тридемакс (Kasey)",hard,1,,,,,,,
[Not Spawned],"Валя Ебучий (Samual)",normal,1,,,,,,,
[Not Spawned],"Костян Менеджер (Корней)",hard,1,,,,,,,
[Not Spawned],"Вадимка Гудинщик (Емельян)",easy,1,,,,,,,
[Not Spawned],"Марат Вавилон (Prince)",easy,1,,,,,,,
[Not Spawned],"Савелий Злыдень (Eduardo)",hard,1,,,,,,,
[Not Spawned],"Вантуз Повидло (Rueben)",easy,1,,,,,,,
[Not Spawned],"Кабан Ветчина (Raleigh)",easy,1,,,,,,,
[Not Spawned],"Киса Фриц (Vincent)",easy,1,,,,,,,
[Not Spawned],"Федя Дробь",easy,1,,,,,,,
[Not Spawned],"Денис Сынуля (Chong)",hard,1,,,,,,,
[Not Spawned],"Карлуша Трехмерный (Kirby)",normal,1,,,,,,,
[Not Spawned],"Ваня Пиздюли (Kyle)",normal,1,,,,,,,
[Not Spawned],"Арчи Шайтан",normal,1,,,,,,,
