Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Лаврентий Миров",easy,13,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","06:28:08","06:28:37",
Bot2,"Lynn Messner",hard,14,Failed,"Postman Pat - Part 1","Item Sealed letter","1","06:28:09","06:29:03",
Bot3,"Корней Гришин",hard,10,Completed,"Postman Pat - Part 1","Item Sealed letter","1","06:28:10","06:28:54",
Bot3,"Корней Гришин",hard,10,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","06:28:59","N/A",
Bot4,"Gregorio Pearman",easy,18,Failed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","06:28:11","06:28:37",
Bot5,"Таир Вавилон (Nickolas)",hard,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","06:30:12","06:30:32",
Bot5,"Таир Вавилон (Nickolas)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","06:30:38","06:30:54",
Bot5,"Таир Вавилон (Nickolas)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","06:30:59","06:31:11",
Bot5,"Таир Вавилон (Nickolas)",hard,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","06:31:16","06:31:30",
Bot5,"Таир Вавилон (Nickolas)",hard,1,Completed,"Med Tent","Med Tent: Objective #1","2","06:31:35","06:32:02",
Bot5,"Таир Вавилон (Nickolas)",hard,1,Failed,"Dumpster Hiding","Dumpster Hiding: Objective #1","2","06:32:07","06:33:38",
Bot6,"Шингис Приезжий (Stevie)",easy,1,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","06:33:05","06:33:44",
Bot7,"Юстин Везунчик (Felton)",easy,1,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","06:33:06","06:34:22",
Bot8,"Севастьян Рожа (Виктор)",hard,1,Completed,"Med Tent","Med Tent: Objective #1","2","06:33:43","06:34:18",
Bot8,"Севастьян Рожа (Виктор)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","06:34:23","06:34:31",
Bot8,"Севастьян Рожа (Виктор)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","06:34:36","06:35:06",
Bot8,"Севастьян Рожа (Виктор)",hard,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","06:35:11","06:35:25",
Bot8,"Севастьян Рожа (Виктор)",hard,1,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","06:35:30","06:35:37",
Bot9,"Генка Киберспортсмен (Глеб)",hard,1,Failed,"Basement Crates","Basement Crates: Objective #1","1","06:33:44","06:36:20",
Bot10,"Витек Пух (Sonny)",easy,1,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","06:35:04","06:37:44",
Bot11,"Киса Пупкин (Carmine)",normal,1,Completed,"Break Room","Break Room: Objective #1","1","06:35:52","06:36:03",
Bot11,"Киса Пупкин (Carmine)",normal,1,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","06:36:08","06:38:57",
[Not Spawned],"Альвиан Забор (Justin)",hard,1,,,,,,,
[Not Spawned],"Даня Чайковский (Desh)",normal,1,,,,,,,
