Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Архипп Пугин",hard,3,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","17:36:56","17:37:14",
Bot37,"Аркадий Водянов",hard,10,Completed,"Postman Pat - Part 1","Item Sealed letter","1","17:36:56","17:37:45",
Bot37,"Аркадий Водянов",hard,10,Pending,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","17:37:51","N/A",
Bot38,"Давид Пипетка (Mitchel)",normal,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","17:36:56","17:37:14",
Bot38,"Давид Пипетка (Mitchel)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","17:37:19","17:37:42",
Bot38,"Давид Пипетка (Mitchel)",normal,1,Pending,"Basement Crates","Basement Crates: Objective #1","1","17:37:47","N/A",
[Not Spawned],"Джонни Японец (Wilfredo)",normal,1,,,,,,,
[Not Spawned],"Вовчик Мошенник (Neil)",normal,1,,,,,,,
[Not Spawned],"Олег Абуза (Greg)",normal,1,,,,,,,
[Not Spawned],"Протасий Мрачный (Norbert)",normal,1,,,,,,,
[Not Spawned],"Аркадий Повидлыч (Sherman)",normal,1,,,,,,,
[Not Spawned],"Мэн Гук (Lucius)",hard,1,,,,,,,
[Not Spawned],"Мэн Бубеш (Barton)",hard,1,,,,,,,
[Not Spawned],"Трифон Повидло (Bradley)",hard,1,,,,,,,
