Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Виктор Сладкоежка (Jerimiah)",easy,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","16:52:37","16:53:05",
Bot2,"Виктор Сладкоежка (Jerimiah)",easy,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","16:53:10","16:53:28",
Bot2,"Виктор Сладкоежка (Jerimiah)",easy,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","16:53:33","16:54:11",
Bot2,"Виктор Сладкоежка (Jerimiah)",easy,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","16:54:16","16:54:42",
Bot2,"Виктор Сладкоежка (Jerimiah)",easy,1,Active,"Med Tent","Med Tent: Objective #1","2","16:54:47","N/A",
Bot1,"Karl Huffaker",normal,24,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","16:52:37","16:53:05",
Bot1,"Karl Huffaker",normal,24,Completed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","16:53:10","16:53:46",
Bot3,"Петр Нервный (Ray)",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","16:52:37","16:53:02",
Bot3,"Петр Нервный (Ray)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","16:53:07","16:53:27",
Bot3,"Петр Нервный (Ray)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","16:53:32","16:53:43",
Bot3,"Петр Нервный (Ray)",easy,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","16:53:48","16:54:15",
Bot3,"Петр Нервный (Ray)",easy,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","16:54:20","16:54:56",
Bot3,"Петр Нервный (Ray)",easy,1,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","16:55:02","N/A",
Bot4,"Батыр Пшеничка (Zane)",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","16:52:37","16:52:50",
Bot5,"Пантелеймон Хипстер (Hassan)",easy,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","16:52:37","16:52:53",
Bot5,"Пантелеймон Хипстер (Hassan)",easy,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","16:52:58","16:53:16",
Bot5,"Пантелеймон Хипстер (Hassan)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","16:53:21","16:53:38",
[Not Spawned],"Тоха Костолом (Truman)",normal,1,,,,,,,
[Not Spawned],"Димон Огрызок (Ike)",easy,1,,,,,,,
[Not Spawned],"Пися Ессентуки (Tony)",normal,1,,,,,,,
[Not Spawned],"Женя ПХП (Doug)",hard,1,,,,,,,
[Not Spawned],"Сава Наушник (Marlon)",easy,1,,,,,,,
