Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot12,"Rod Fassett",normal,33,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","06:56:12","06:57:46",
Bot12,"Rod Fassett",normal,33,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","06:57:51","06:58:16",
Bot12,"Rod Fassett",normal,33,Completed,"Big Red","Big Red: Objective #3","1","06:58:22","06:58:55",
Bot12,"Rod Fassett",normal,33,Completed,"Big Red","Big Red: Objective #2","1","06:59:00","06:59:15",
Bot12,"Rod Fassett",normal,33,Failed,"Big Red","Big Red: Objective #5","1","06:59:20","07:00:46",
Bot13,"Alphonse Hunsaker",normal,16,Failed,"Delivery From the Past","Item Secure Folder 0022","1","06:56:14","06:57:00",
Bot14,"Brayden Teitelbaum",normal,17,Failed,"Delivery From the Past","Item Secure Folder 0022","1","06:56:14","06:59:18",
Bot15,"Стас Воскресенский",normal,22,Failed,"Farming - Part 3","Item Package of graphics cards","1","06:56:15","06:57:11",
Bot16,"Данила Рафиков",normal,24,Completed,"Chumming","Zone place_skier_12_2","2","06:56:16","06:59:44",
Bot16,"Данила Рафиков",normal,24,Completed,"Shaking up the Teller","Item Bank case","1","06:59:50","07:00:39",
Bot16,"Данила Рафиков",normal,24,Failed,"Shaking up the Teller","Zone room214","1","07:00:44","07:01:21",
Bot16,"Данила Рафиков",normal,24,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","07:01:26","07:01:26",
Bot16,"Данила Рафиков",normal,24,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","07:01:31","07:01:39",
Bot16,"Данила Рафиков",normal,24,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","07:01:44","07:01:50",
Bot16,"Данила Рафиков",normal,24,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","07:01:55","07:02:02",
Bot16,"Данила Рафиков",normal,24,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","07:02:07","07:02:07",
Bot16,"Данила Рафиков",normal,24,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","07:02:12","07:02:26",
Bot16,"Данила Рафиков",normal,24,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","07:02:31","07:02:31",
Bot17,"Владислав Бурдуковский",normal,13,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","06:56:17","06:56:50",
Bot18,"Tory Dunbar",normal,14,Completed,"Big Red","Big Red: Objective #3","1","06:56:18","06:56:24",
Bot18,"Tory Dunbar",normal,14,Completed,"Big Red","Big Red: Objective #2","1","06:56:29","06:57:28",
Bot18,"Tory Dunbar",normal,14,Failed,"Big Red","Big Red: Objective #5","1","06:57:33","07:00:11",
Bot18,"Tory Dunbar",normal,14,Completed,"Big Red","Big Red: Objective #4","1","07:00:16","07:05:35",
Bot18,"Tory Dunbar",normal,14,Completed,"The Extortionist","Zone dead_posylni","1","07:05:40","07:08:58",
Bot18,"Tory Dunbar",normal,14,Active,"The Extortionist","Item Secure Folder 0048","1","07:09:03","N/A",
[Not Spawned],"Дмитрий Кривков",normal,13,,,,,,,
[Not Spawned],"Аркадий Крутов",normal,15,,,,,,,
[Not Spawned],"Паисий Костолом (Всеслав)",normal,1,,,,,,,
[Not Spawned],"Тимофей Бух (Nelson)",easy,1,,,,,,,
[Not Spawned],"Лёха Сова (Sidney)",normal,1,,,,,,,
[Not Spawned],"Марат Костыль (Porfirio)",normal,1,,,,,,,
[Not Spawned],"Макар Коптёр (Fernando)",normal,1,,,,,,,
[Not Spawned],"Пахан Слон (Renaldo)",normal,1,,,,,,,
[Not Spawned],"Зураб Щачло (Blaine)",normal,1,,,,,,,
[Not Spawned],"Павел Кислый (Иннокентий)",easy,1,,,,,,,
[Not Spawned],"Мартын Шульц (Walter)",normal,1,,,,,,,
[Not Spawned],"Прокопий Морковник (Jerrell)",easy,1,,,,,,,
[Not Spawned],"Терентий Гук (Edmond)",easy,1,,,,,,,
[Not Spawned],"Сергей Боров (Arlie)",normal,1,,,,,,,
[Not Spawned],"Донатий Морковник (Lyle)",hard,1,,,,,,,
[Not Spawned],"Кися Знахарь (Ян)",easy,1,,,,,,,
[Not Spawned],"Дрон Рыло (Otis)",easy,1,,,,,,,
[Not Spawned],"Альвиан Костолом (Abdul)",easy,1,,,,,,,
[Not Spawned],"Алекс Робокоп (Modesto)",normal,1,,,,,,,
[Not Spawned],"Парфений Батон (Fred)",easy,1,,,,,,,
