Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot81,"Самуил Анохин",normal,13,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","19:18:55","19:20:12",
Bot82,"Макс Саранск (Larry)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","19:18:56","19:19:42",
Bot82,"Макс Саранск (Larry)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","19:19:48","19:20:11",
Bot84,"Мелентий Чукча (Ryan)",normal,1,Completed,"Weapon Crates outside Office","Weapon Crates outside Office: Objective #1","1","19:18:56","19:20:25",
Bot84,"Мелентий Чукча (Ryan)",normal,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","19:20:31","19:21:21",
Bot84,"Мелентий Чукча (Ryan)",normal,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","19:21:26","19:22:03",
Bot83,"Авдей Баклажан (Felipe)",normal,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","19:18:56","19:19:47",
Bot83,"Авдей Баклажан (Felipe)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","19:19:52","19:20:05",
Bot85,"Рома Ебучий (Caleb)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","19:19:16","19:19:40",
Bot85,"Рома Ебучий (Caleb)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","19:19:45","19:20:21",
Bot86,"Мэн Козий-сыр (Quinn)",normal,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","19:20:16","19:20:27",
Bot86,"Мэн Козий-сыр (Quinn)",normal,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","19:20:33","19:21:20",
Bot87,"Митяй Блатной (Raymond)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","19:20:16","19:20:44",
Bot87,"Митяй Блатной (Raymond)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","19:20:49","19:21:00",
Bot87,"Митяй Блатной (Raymond)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","19:21:05","19:21:36",
[Not Spawned],"Пров Белый (Emory)",normal,1,,,,,,,
[Not Spawned],"Саня Тихий (Chung)",hard,1,,,,,,,
[Not Spawned],"Димон Боржоми (Tyron)",easy,1,,,,,,,
