Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot107,"Корнил Мисалов",easy,14,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","20:43:38","20:44:49",
Bot110,"Bud Nissen",normal,14,Completed,"Basement Crates","Basement Crates: Objective #2","1","20:43:38","20:43:55",
Bot110,"Bud Nissen",normal,14,Failed,"Basement Crates","Basement Crates: Objective #1","1","20:44:00","20:45:44",
Bot108,"Игорь Посохов",hard,31,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","20:43:38","20:44:09",
Bot108,"Игорь Посохов",hard,31,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","20:44:15","20:46:10",
Bot108,"Игорь Посохов",hard,31,Completed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","2","20:46:15","20:46:27",
Bot108,"Игорь Посохов",hard,31,Failed,"Boilers","Boilers: Objective #1","1","20:46:32","20:47:38",
Bot109,"Артемий Логиновский",hard,13,Failed,"Delivery From the Past","Zone case_extraction","1","20:43:38","20:50:28",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","20:47:29","20:48:10",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","20:48:15","20:49:43",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","20:49:48","20:50:23",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","20:50:28","20:50:48",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","20:50:53","20:51:22",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","20:51:27","20:51:38",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","20:51:43","20:51:49",
Bot111,"Андрюха Бритва (Ramiro)",hard,1,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","20:51:54","20:52:06",
Bot112,"Кирилл Сильвестр (Leopoldo)",easy,1,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","20:48:30","20:49:27",
Bot112,"Кирилл Сильвестр (Leopoldo)",easy,1,Active,"Dumpster Hiding","Dumpster Hiding: Objective #1","2","20:49:32","N/A",
Bot113,"Борис Инстаграмщик (Barrett)",normal,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","20:49:10","20:50:01",
Bot113,"Борис Инстаграмщик (Barrett)",normal,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","20:50:06","20:50:27",
Bot113,"Борис Инстаграмщик (Barrett)",normal,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","20:50:32","20:50:47",
Bot113,"Борис Инстаграмщик (Barrett)",normal,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","20:50:53","20:50:57",
Bot113,"Борис Инстаграмщик (Barrett)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","20:51:02","20:51:15",
Bot113,"Борис Инстаграмщик (Barrett)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","20:51:20","20:51:50",
Bot113,"Борис Инстаграмщик (Barrett)",normal,1,Pending,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","20:51:55","N/A",
Bot114,"Лев Рожа (Карл)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","20:50:51","20:51:11",
Bot114,"Лев Рожа (Карл)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","20:51:16","20:52:19",
Bot114,"Лев Рожа (Карл)",normal,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","1","20:52:24","20:52:43",
[Not Spawned],"Герчик Глиттершайн (Elias)",normal,1,,,,,,,
[Not Spawned],"Боря Неудачник (Denver)",normal,1,,,,,,,
[Not Spawned],"Рауль Глазастый (Malcolm)",hard,1,,,,,,,
[Not Spawned],"Ботир МЧС (Егор)",normal,1,,,,,,,
[Not Spawned],"Донатий Московский (Kareem)",impossible,1,,,,,,,
