Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot60,"Казимир Курганов",normal,21,Pending,"USEC Camp South","USEC Camp South: Objective #1","1","10:00:15","N/A",
Bot59,"Кондратий Науменко",normal,34,Completed,"Steady Signal","Zone q14_8_1","1","10:00:15","10:00:35",
Bot59,"Кондратий Науменко",normal,34,Completed,"Steady Signal","Zone q14_8_3","1","10:00:40","10:04:43",
Bot59,"Кондратий Науменко",normal,34,Completed,"Steady Signal","Zone q14_8_2","1","10:04:48","10:07:44",
Bot59,"Кондратий Науменко",normal,34,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","10:07:49","10:11:11",
Bot59,"Кондратий Науменко",normal,34,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","10:11:16","10:12:57",
Bot59,"Кондратий Науменко",normal,34,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","10:13:02","10:18:03",
Bot59,"Кондратий Науменко",normal,34,Completed,"Sawmill Checkpoint Sniping","Sawmill Checkpoint Sniping: Objective #1","2","10:18:08","10:20:04",
Bot59,"Кондратий Науменко",normal,34,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","10:20:09","10:21:54",
Bot59,"Кондратий Науменко",normal,34,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","10:21:59","10:22:10",
Bot59,"Кондратий Науменко",normal,34,Active,"Sawmill Patrol","Sawmill Patrol: Objective #2","2","10:22:15","N/A",
Bot64,"Корнил Запорожец",easy,2,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","10:00:15","10:05:53",
Bot64,"Корнил Запорожец",easy,2,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","10:05:58","10:10:58",
Bot64,"Корнил Запорожец",easy,2,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","10:11:03","10:11:59",
Bot64,"Корнил Запорожец",easy,2,Completed,"Sawmill Camp","Sawmill Camp: Objective #1","1","10:12:04","10:12:30",
Bot64,"Корнил Запорожец",easy,2,Completed,"Scav Base","Scav Base: Objective #3","1","10:12:35","10:14:00",
Bot64,"Корнил Запорожец",easy,2,Completed,"Scav Base","Scav Base: Objective #2","4","10:14:05","10:14:58",
Bot64,"Корнил Запорожец",easy,2,Completed,"Scav Base","Scav Base: Objective #4","2","10:15:03","10:18:23",
Bot64,"Корнил Запорожец",easy,2,Failed,"Scav Base","Scav Base: Objective #1","4","10:18:28","10:19:33",
Bot64,"Корнил Запорожец",easy,2,Completed,"Scav Base Sniping","Scav Base Sniping: Objective #1","2","10:19:38","10:22:24",
Bot64,"Корнил Запорожец",easy,2,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","10:22:29","10:23:48",
Bot61,"Galen Graham",easy,36,Completed,"Chumming","Zone place_skier_12_3","2","10:00:15","10:08:10",
Bot61,"Galen Graham",easy,36,Failed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","10:08:15","10:14:29",
Bot62,"Antony Robie",easy,22,Failed,"Health Care Privacy - Part 3","Item Blood sample","1","10:00:15","10:15:04",
Bot63,"Hunter Maiden",easy,18,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","10:00:15","10:12:02",
Bot66,"Иван Пичугин",normal,15,Pending,"Steady Signal","Zone q14_8_4","1","10:00:15","N/A",
Bot65,"Феликс Третьяков",normal,22,Completed,"Supply Plans","Item Secure Folder 0052","1","10:00:15","10:02:49",
Bot65,"Феликс Третьяков",normal,22,Completed,"Gratitude","Zone place_THX_15","2","10:02:54","10:05:00",
Bot65,"Феликс Третьяков",normal,22,Completed,"Steady Signal","Zone q14_8_4","1","10:05:05","10:08:04",
Bot65,"Феликс Третьяков",normal,22,Completed,"Steady Signal","Zone q14_8_5","1","10:08:09","10:12:12",
[Not Spawned],"Wiley Balas",normal,11,,,,,,,
[Not Spawned],"Prince Miler",normal,10,,,,,,,
[Not Spawned],"Илюша Хлыст (Claud)",normal,1,,,,,,,
[Not Spawned],"Вовчик Тридемакс (Craig)",easy,1,,,,,,,
[Not Spawned],"Сашок Затвор (Wally)",easy,1,,,,,,,
[Not Spawned],"Виктор Всемогущий (Guillermo)",easy,1,,,,,,,
[Not Spawned],"Гриша Забор (Wilfredo)",normal,1,,,,,,,
[Not Spawned],"Савелий Приезжий (Denver)",normal,1,,,,,,,
[Not Spawned],"Пётр Заводской (Jeromy)",normal,1,,,,,,,
[Not Spawned],"Юра ПХП (Carey)",normal,1,,,,,,,
[Not Spawned],"Гоги Малинка (Rey)",normal,1,,,,,,,
[Not Spawned],"Кирилл Снайпер (Malik)",easy,1,,,,,,,
[Not Spawned],"Рудик Киберспортсмен (Laurence)",easy,1,,,,,,,
[Not Spawned],"Эдик Фторопласт (Vernon)",hard,1,,,,,,,
[Not Spawned],"Ростя Живчик (Rob)",normal,1,,,,,,,
[Not Spawned],"Кэл Корешок (Астап)",normal,1,,,,,,,
[Not Spawned],"Мэн Каша (Cristopher)",normal,1,,,,,,,
[Not Spawned],"Дрон Пуэрщик (Luther)",easy,1,,,,,,,
[Not Spawned],"Костян Бардак (Ollie)",easy,1,,,,,,,
[Not Spawned],"Сильвестр Самогон (Melvin)",easy,1,,,,,,,
[Not Spawned],"Миха Япончик (Waldo)",normal,1,,,,,,,
[Not Spawned],"Толя Зевс (Carmen)",easy,1,,,,,,,
[Not Spawned],"Тёма Шнек (Vernon)",normal,1,,,,,,,
