Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Sam Viola",normal,7,Failed,"BP Depot","Zone fuel4","1","06:49:55","06:51:12",
Bot2,"Sam Viola",normal,7,Failed,"BP Depot","Zone fuel2","1","06:51:17","06:57:17",
Bot2,"Sam Viola",normal,7,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","06:57:22","07:03:43",
Bot1,"Мирослав Турбин",easy,4,Completed,"Big Red","Big Red: Objective #2","1","06:49:55","06:52:20",
Bot1,"Мирослав Турбин",easy,4,Failed,"Big Red","Big Red: Objective #3","1","06:52:25","06:52:30",
Bot1,"Мирослав Турбин",easy,4,Failed,"Big Red","Big Red: Objective #5","1","06:52:35","06:52:39",
Bot3,"Александр Утёсов",impossible,6,Failed,"Delivery From the Past","Item Secure Folder 0022","1","06:49:55","06:50:19",
Bot4,"Владимир Клепин",easy,2,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","06:49:57","06:50:07",
Bot4,"Владимир Клепин",easy,2,Failed,"Trailer Park Cabin","Trailer Park Cabin: Objective #1","1","06:50:12","06:52:01",
Bot5,"Harry Meikle",normal,10,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","06:49:57","06:50:01",
Bot5,"Harry Meikle",normal,10,Failed,"Golden Swag","Item Golden Zibbo lighter","1","06:50:02","06:57:05",
Bot5,"Harry Meikle",normal,10,Active,"Operation Aquarius - Part 1","Zone room206_water","1","06:57:10","N/A",
Bot6,"Архипп Кандинский",hard,3,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","06:49:58","06:52:28",
Bot6,"Архипп Кандинский",hard,3,Archived,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","06:52:33","06:53:27",
Bot6,"Архипп Кандинский",hard,3,Completed,"Big Red","Big Red: Objective #3","1","06:53:32","06:54:04",
Bot6,"Архипп Кандинский",hard,3,Completed,"Big Red","Big Red: Objective #2","1","06:54:09","06:54:29",
Bot6,"Архипп Кандинский",hard,3,Failed,"Big Red","Big Red: Objective #5","1","06:54:34","06:55:07",
Bot6,"Архипп Кандинский",hard,3,Completed,"Big Red","Big Red: Objective #4","1","06:55:12","06:56:07",
Bot6,"Архипп Кандинский",hard,3,Completed,"Big Red","Big Red: Objective #1","1","06:56:12","06:56:32",
Bot6,"Архипп Кандинский",hard,3,Completed,"Storage","Storage: Objective #2","1","06:56:37","06:57:16",
Bot6,"Архипп Кандинский",hard,3,Completed,"Storage","Storage: Objective #1","1","06:57:21","06:57:31",
Bot6,"Архипп Кандинский",hard,3,Completed,"Storage","Storage: Objective #3","1","06:57:36","06:57:52",
Bot6,"Архипп Кандинский",hard,3,Completed,"Storage","Storage: Objective #4","1","06:57:57","06:58:37",
Bot6,"Архипп Кандинский",hard,3,Completed,"Storage","Storage: Objective #5","1","06:58:42","06:58:55",
Bot6,"Архипп Кандинский",hard,3,Completed,"Storage","Storage: Objective #6","1","06:59:00","06:59:36",
Bot6,"Архипп Кандинский",hard,3,Completed,"Storage","Storage: Objective #7","1","06:59:41","07:00:05",
Bot6,"Архипп Кандинский",hard,3,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","07:00:10","07:00:53",
Bot6,"Архипп Кандинский",hard,3,Failed,"Crackhouse","Crackhouse: Objective #6","1","07:00:58","07:03:45",
Bot23,"Филат Серёгин",hard,15,Pending,"Tigr Safari","Zone place_peacemaker_002_N1","1","06:50:34","N/A",
Bot30,"Аристарх Чумаков",hard,9,Failed,"BP Depot","Zone fuel1","1","06:50:44","06:52:14",
Bot30,"Аристарх Чумаков",hard,9,Failed,"BP Depot","Zone fuel3","1","06:52:20","07:02:59",
Bot30,"Аристарх Чумаков",hard,9,Completed,"Giving Tree","Giving Tree: Objective #1","1","07:03:04","07:03:22",
Bot30,"Аристарх Чумаков",hard,9,Active,"BP Depot","Zone fuel2","1","07:03:27","N/A",
[Not Spawned],"Филат Корнилов",normal,15,,,,,,,
[Not Spawned],"Клим Шайтан (Hong)",normal,1,,,,,,,
[Not Spawned],"Боря Злыдень (Leroy)",easy,1,,,,,,,
[Not Spawned],"Авксентий Метанол (Micah)",easy,1,,,,,,,
[Not Spawned],"Санёк Дикий (Jose)",normal,1,,,,,,,
[Not Spawned],"Паисий Овальный (Rosario)",hard,1,,,,,,,
[Not Spawned],"Слава Сладкий (Eusebio)",hard,1,,,,,,,
[Not Spawned],"Юрец Бочок (Zackary)",hard,1,,,,,,,
[Not Spawned],"Лёха Сотона (Coy)",hard,1,,,,,,,
[Not Spawned],"Ваха Сендвич (Wilson)",normal,1,,,,,,,
[Not Spawned],"Марк Рэмба (Brenton)",normal,1,,,,,,,
[Not Spawned],"Герчик Кислый (Maximo)",normal,1,,,,,,,
[Not Spawned],"Давид Огрызок (Elias)",normal,1,,,,,,,
[Not Spawned],"Эдик Шнырь (Woodrow)",hard,1,,,,,,,
[Not Spawned],"Александр Черный (Cecil)",normal,1,,,,,,,
[Not Spawned],"Агафон Крезибамп (Malcolm)",normal,1,,,,,,,
[Not Spawned],"Юрий БОБР (Dee)",easy,1,,,,,,,
[Not Spawned],"Ваня Пятно (Denny)",easy,1,,,,,,,
[Not Spawned],"Тимурка Скульптор (Валерий)",normal,1,,,,,,,
