Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Мирослав Щеглов",easy,4,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","05:09:16","N/A",
Bot2,"Eldridge Racine",hard,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","05:09:16","05:09:19",
Bot2,"Eldridge Racine",hard,2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","05:09:24","05:10:55",
Bot3,"Карл Веселовский",normal,3,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","05:09:16","05:11:26",
Bot4,"Лев Баринов",hard,7,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","05:09:18","05:09:26",
Bot4,"Лев Баринов",hard,7,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","05:09:31","05:11:40",
Bot4,"Лев Баринов",hard,7,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","05:11:45","05:11:48",
Bot4,"Лев Баринов",hard,7,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","05:11:53","05:12:13",
Bot4,"Лев Баринов",hard,7,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","05:12:18","05:12:43",
Bot4,"Лев Баринов",hard,7,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","05:12:48","05:12:55",
Bot4,"Лев Баринов",hard,7,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","05:13:00","05:13:09",
Bot4,"Лев Баринов",hard,7,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","05:13:14","N/A",
Bot5,"Bret Bellew",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","05:09:19","05:12:20",
Bot6,"Jerome Renz",easy,1,Completed,"Capital Insight","Capital Insight: Objective #2","1","05:09:20","05:09:40",
Bot6,"Jerome Renz",easy,1,Completed,"Capital Insight","Capital Insight: Objective #3","1","05:09:45","05:10:13",
Bot6,"Jerome Renz",easy,1,Completed,"Capital Insight","Capital Insight: Objective #1","1","05:10:18","05:11:31",
Bot6,"Jerome Renz",easy,1,Active,"Capital Insight","Capital Insight: Objective #5","2","05:11:36","N/A",
Bot7,"Joel Dalke",normal,8,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","05:09:21","05:10:41",
Bot18,"Elisha Blagg",normal,9,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","05:10:53","05:12:29",
Bot18,"Elisha Blagg",normal,9,Active,"Luxurious Life","Item Bottle of Le Jean wine","1","05:12:34","N/A",
[Not Spawned],"Архипп Хлыст (Miles)",easy,1,,,,,,,
[Not Spawned],"Толян Кафтан (Ashley)",normal,1,,,,,,,
[Not Spawned],"Денис Панкреатит (Назар)",normal,1,,,,,,,
[Not Spawned],"Игорян Упругий (Daren)",hard,1,,,,,,,
[Not Spawned],"Ростя Костыль (Демид)",normal,1,,,,,,,
[Not Spawned],"Лаша Торч (Aurelio)",normal,1,,,,,,,
[Not Spawned],"Рома Зырь-труба (Domingo)",normal,1,,,,,,,
[Not Spawned],"Коля Байзальбоп (Jarrod)",easy,1,,,,,,,
[Not Spawned],"Аристарх Бухгалтер (Lavern)",normal,1,,,,,,,
[Not Spawned],"Артур Рожа (Alberto)",normal,1,,,,,,,
[Not Spawned],"Карлуша Рыжий (Cedric)",normal,1,,,,,,,
[Not Spawned],"Костян Лыжи (Randal)",normal,1,,,,,,,
[Not Spawned],"Саша Любитель (Tuan)",easy,1,,,,,,,
[Not Spawned],"Леха Япончик (Lenard)",normal,1,,,,,,,
[Not Spawned],"Леха Крезибамп (Артур)",hard,1,,,,,,,
