Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot103,"Афанасий Климушин",easy,22,Active,"Scout","Zone place_pacemaker_SCOUT_04","1","20:30:59","N/A",
Bot106,"Панкрат Толстой",normal,6,Pending,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","20:30:59","N/A",
Bot104,"Демид Рыжанов",normal,6,Active,"Sanitary Standards - Part 1","Zone pumproom","1","20:30:59","N/A",
Bot105,"Наум Казак",normal,49,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","20:31:00","N/A",
[Not Spawned],"Баха Монгол (Luis)",easy,1,,,,,,,
[Not Spawned],"Стасик Дробь (Lincoln)",normal,1,,,,,,,
[Not Spawned],"Филипп Шашлыки (Zachariah)",hard,1,,,,,,,
[Not Spawned],"Порфирий Центровой (Cornelius)",normal,1,,,,,,,
[Not Spawned],"Клим Бубеш (Ollie)",easy,1,,,,,,,
[Not Spawned],"Ростислав Овальный (Thurman)",normal,1,,,,,,,
[Not Spawned],"Иржан Вупсень (Timothy)",hard,1,,,,,,,
[Not Spawned],"Давид Кабан (Will)",normal,1,,,,,,,
[Not Spawned],"Кайл Корешок (Houston)",normal,1,,,,,,,
