Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Кузьма Рыжков",normal,3,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","05:38:40","05:52:56",
Bot2,"Dane Iliff",normal,1,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","05:38:41","05:43:00",
Bot2,"Dane Iliff",normal,1,Failed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","2","05:43:05","06:02:12",
Bot2,"Dane Iliff",normal,1,Completed,"ZB014 Outhouses","ZB014 Outhouses: Objective #1","1","05:50:14","05:52:46",
Bot2,"Dane Iliff",normal,1,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","05:52:51","05:54:22",
Bot2,"Dane Iliff",normal,1,Completed,"Sawmill Checkpoint Nearby Rocks","Sawmill Checkpoint Nearby Rocks: Objective #1","1","05:54:27","05:56:34",
Bot2,"Dane Iliff",normal,1,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","05:56:39","06:00:06",
Bot2,"Dane Iliff",normal,1,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","06:00:11","06:00:27",
Bot2,"Dane Iliff",normal,1,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","06:00:32","06:01:24",
Bot2,"Dane Iliff",normal,1,Failed,"USEC Camp North","USEC Camp North: Objective #4","2","06:01:29","06:02:12",
Bot3,"Rich Cleveland",normal,1,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","05:38:41","06:02:20",
Bot4,"Игнат Зефиров",normal,15,Failed,"Steady Signal","Zone q14_8_4","1","05:38:42","05:40:17",
Bot5,"Игнат Пьяных",normal,14,Failed,"Scav House Sniping","Scav House Sniping: Objective #1","2","05:38:43","05:39:26",
Bot6,"Kendrick Amezcua",easy,1,Completed,"ZB014 Outhouses","ZB014 Outhouses: Objective #1","1","05:38:46","05:39:33",
Bot6,"Kendrick Amezcua",easy,1,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","05:39:38","05:40:44",
Bot6,"Kendrick Amezcua",easy,1,Archived,"Sawmill Sniping","Sawmill Sniping: Objective #1","2","05:40:49","05:46:51",
Bot6,"Kendrick Amezcua",easy,1,Completed,"Sawmill Camp","Sawmill Camp: Objective #1","1","05:46:56","05:47:39",
Bot6,"Kendrick Amezcua",easy,1,Completed,"Scav Base","Scav Base: Objective #3","1","05:47:44","05:49:22",
Bot6,"Kendrick Amezcua",easy,1,Completed,"Scav Base","Scav Base: Objective #2","4","05:49:27","05:51:33",
Bot6,"Kendrick Amezcua",easy,1,Completed,"Scav Base","Scav Base: Objective #4","2","05:51:38","05:52:14",
Bot6,"Kendrick Amezcua",easy,1,Failed,"Scav Base","Scav Base: Objective #1","4","05:52:19","05:53:25",
Bot6,"Kendrick Amezcua",easy,1,Completed,"Ambulance","Ambulance: Objective #1","1","05:53:30","05:53:44",
Bot7,"Геннадий Подшивалов",hard,24,Archived,"Scav Base","Scav Base: Objective #1","4","05:38:46","05:41:18",
Bot7,"Геннадий Подшивалов",hard,24,Archived,"Scav Base","Scav Base: Objective #4","2","05:41:23","05:41:48",
Bot7,"Геннадий Подшивалов",hard,24,Archived,"Scav Base","Scav Base: Objective #3","1","05:41:53","05:42:12",
Bot7,"Геннадий Подшивалов",hard,24,Archived,"Scav Base","Scav Base: Objective #2","4","05:42:17","05:43:12",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Steady Signal","Zone q14_8_5","1","05:43:17","05:44:08",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Steady Signal","Zone q14_8_2","1","05:44:13","05:46:30",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Steady Signal","Zone q14_8_3","1","05:46:35","05:47:43",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Steady Signal","Zone q14_8_1","1","05:47:49","05:50:54",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","05:50:59","05:51:41",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","05:51:46","05:52:02",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","05:52:07","05:52:34",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","05:52:39","05:53:13",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Supply Plans","Item Secure Folder 0052","1","05:53:18","05:54:57",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","05:55:02","05:56:19",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","05:56:24","05:59:42",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Sunken Village","Sunken Village: Objective #3","1","05:59:47","06:00:01",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Sunken Village","Sunken Village: Objective #1","1","06:00:06","06:00:42",
Bot7,"Геннадий Подшивалов",hard,24,Completed,"Sunken Village","Sunken Village: Objective #2","1","06:00:47","06:01:20",
Bot25,"Ezekiel Shelby",easy,15,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","05:39:42","05:41:03",
Bot25,"Ezekiel Shelby",easy,15,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","05:41:08","05:41:44",
Bot25,"Ezekiel Shelby",easy,15,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","05:41:49","05:43:03",
Bot25,"Ezekiel Shelby",easy,15,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","05:43:08","05:45:30",
Bot25,"Ezekiel Shelby",easy,15,Completed,"Search Mission","Zone pr_scout_base","1","05:45:35","05:46:12",
Bot25,"Ezekiel Shelby",easy,15,Completed,"Search Mission","Zone pr_scout_col","1","05:46:17","05:47:40",
Bot25,"Ezekiel Shelby",easy,15,Completed,"Steady Signal","Zone q14_8_1","1","05:47:45","05:48:53",
Bot25,"Ezekiel Shelby",easy,15,Failed,"Steady Signal","Zone q14_8_3","1","05:48:58","05:49:54",
Bot26,"Ezequiel Weight",easy,9,Failed,"Search Mission","Zone pr_scout_col","1","05:39:42","05:50:02",
Bot27,"Александр Рабинович",normal,15,Completed,"Gratitude","Zone place_THX_15","2","05:40:23","05:44:39",
Bot27,"Александр Рабинович",normal,15,Completed,"Supply Plans","Item Secure Folder 0052","1","05:44:45","05:46:12",
Bot27,"Александр Рабинович",normal,15,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","05:46:17","05:46:46",
Bot27,"Александр Рабинович",normal,15,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","05:46:51","05:47:41",
Bot27,"Александр Рабинович",normal,15,Completed,"Sawmill Camp","Sawmill Camp: Objective #1","1","05:47:46","05:48:40",
Bot27,"Александр Рабинович",normal,15,Completed,"Steady Signal","Zone q14_8_4","1","05:48:45","05:50:25",
Bot43,"Тимофей Осинцев",hard,11,Completed,"Introduction","Item Encrypted message","1","05:50:01","05:51:26",
Bot43,"Тимофей Осинцев",hard,11,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","05:51:31","05:52:25",
Bot43,"Тимофей Осинцев",hard,11,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","05:52:30","05:57:49",
Bot43,"Тимофей Осинцев",hard,11,Completed,"Sawmill Checkpoint Nearby Rocks","Sawmill Checkpoint Nearby Rocks: Objective #1","1","05:57:54","05:59:03",
Bot43,"Тимофей Осинцев",hard,11,Completed,"ZB014 Outhouses","ZB014 Outhouses: Objective #1","1","05:59:09","05:59:30",
Bot43,"Тимофей Осинцев",hard,11,Completed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","4","05:59:35","06:01:36",
Bot43,"Тимофей Осинцев",hard,11,Completed,"Sawmill Sniping","Sawmill Sniping: Objective #1","2","06:01:41","06:03:36",
Bot43,"Тимофей Осинцев",hard,11,Completed,"Scav Base","Scav Base: Objective #3","1","06:03:41","06:05:22",
Bot43,"Тимофей Осинцев",hard,11,Completed,"Scav Base","Scav Base: Objective #2","4","06:05:27","06:06:25",
Bot43,"Тимофей Осинцев",hard,11,Completed,"Scav Base","Scav Base: Objective #4","2","06:06:30","06:07:05",
Bot43,"Тимофей Осинцев",hard,11,Pending,"Scav Base","Scav Base: Objective #1","3","06:07:10","N/A",
Bot47,"Кот Чукча (Amado)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #1","1","05:50:11","05:50:21",
Bot47,"Кот Чукча (Amado)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #3","1","05:50:26","05:52:12",
Bot47,"Кот Чукча (Amado)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #2","1","05:52:17","05:53:16",
Bot47,"Кот Чукча (Amado)",normal,1,Failed,"Scav Town","Scav Town: Objective #5","1","05:53:22","05:57:14",
Bot48,"Саша Поехавший (Boris)",easy,1,Completed,"Scav House","Scav House: Objective #1","1","05:51:10","05:51:35",
Bot48,"Саша Поехавший (Boris)",easy,1,Completed,"Dead Man's Place","Dead Man's Place: Objective #1","1","05:51:40","05:53:06",
Bot48,"Саша Поехавший (Boris)",easy,1,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","05:53:11","05:53:49",
Bot48,"Саша Поехавший (Boris)",easy,1,Failed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","05:53:54","05:54:31",
Bot49,"Стасик Рубинштейн (Miquel)",normal,1,Failed,"Scav Base","Scav Base: Objective #2","1","05:53:15","05:54:37",
Bot50,"Фёдор Перегар (Jay)",normal,1,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","05:54:40","05:55:45",
