Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Аристарх Остапюк",normal,19,Completed,"Steady Signal","Zone q14_8_4","1","18:09:18","18:10:08",
Bot1,"Аристарх Остапюк",normal,19,Completed,"Steady Signal","Zone q14_8_5","1","18:10:13","18:15:47",
Bot1,"Аристарх Остапюк",normal,19,Completed,"Scav Base","Scav Base: Objective #2","4","18:15:52","18:17:54",
Bot1,"Аристарх Остапюк",normal,19,Completed,"Scav Base","Scav Base: Objective #3","1","18:17:59","18:18:10",
Bot1,"Аристарх Остапюк",normal,19,Completed,"Scav Base","Scav Base: Objective #4","2","18:18:15","18:18:47",
Bot1,"Аристарх Остапюк",normal,19,Failed,"Scav Base","Scav Base: Objective #1","4","18:18:53","18:19:41",
Bot1,"Аристарх Остапюк",normal,19,Completed,"Scav Base Sniping","Scav Base Sniping: Objective #1","2","18:19:46","18:21:17",
Bot1,"Аристарх Остапюк",normal,19,Completed,"Gratitude","Zone place_THX_15","2","18:21:22","18:22:27",
Bot1,"Аристарх Остапюк",normal,19,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","18:22:32","18:23:13",
Bot1,"Аристарх Остапюк",normal,19,Active,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","18:23:18","N/A",
Bot4,"Vito Frawley",normal,39,Pending,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","18:09:18","N/A",
Bot5,"Joe Pepe",normal,18,Pending,"Steady Signal","Zone q14_8_5","1","18:09:18","N/A",
Bot3,"Bud Strasser",normal,40,Failed,"Chumming","Zone place_skier_12_3","1","18:09:18","18:23:38",
Bot2,"Johnathon Lent",normal,35,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","18:09:19","18:13:09",
Bot2,"Johnathon Lent",normal,35,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","18:13:14","18:15:15",
Bot2,"Johnathon Lent",normal,35,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","18:15:20","18:22:08",
Bot2,"Johnathon Lent",normal,35,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","18:22:13","18:22:36",
