Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot58,"Issac Ono",hard,4,Completed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","2","06:16:16","06:16:43",
Bot58,"Issac Ono",hard,4,Completed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","06:16:48","06:16:54",
Bot58,"Issac Ono",hard,4,Completed,"Break Room","Break Room: Objective #1","1","06:16:59","06:17:25",
Bot57,"Felix Ammons",easy,23,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","06:16:16","06:16:44",
Bot57,"Felix Ammons",easy,23,Completed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","06:16:49","06:17:22",
Bot60,"Коля Кореец (Avery)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","06:16:16","06:19:12",
Bot61,"Тимофей Рэмба (Gene)",easy,1,Pending,"Basement Crates","Basement Crates: Objective #1","1","06:16:16","N/A",
Bot59,"Колька Коматоз (Gregg)",easy,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","06:16:16","06:16:22",
Bot59,"Колька Коматоз (Gregg)",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","06:16:27","06:17:11",
Bot59,"Колька Коматоз (Gregg)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","06:17:16","06:17:48",
Bot59,"Колька Коматоз (Gregg)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","06:17:53","06:18:05",
Bot62,"Тарас Сухарик (Стас)",hard,1,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","06:17:36","06:18:07",
Bot62,"Тарас Сухарик (Стас)",hard,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","06:18:12","06:18:56",
Bot62,"Тарас Сухарик (Стас)",hard,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","06:19:01","06:19:34",
Bot62,"Тарас Сухарик (Стас)",hard,1,Pending,"1st Floor Office","1st Floor Office: Objective #1","1","06:19:39","N/A",
Bot63,"Шурик Сизый (Julius)",normal,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","06:18:07","06:18:50",
Bot63,"Шурик Сизый (Julius)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","06:18:55","06:20:01",
Bot63,"Шурик Сизый (Julius)",normal,1,Pending,"Basement Crates","Basement Crates: Objective #1","1","06:20:07","N/A",
Bot64,"Макс Трехмерный (Hassan)",normal,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","06:18:47","06:19:05",
Bot64,"Макс Трехмерный (Hassan)",normal,1,Pending,"Med Tent","Med Tent: Objective #1","2","06:19:10","N/A",
Bot65,"Герчик Румын (Everett)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","06:18:57","06:19:19",
Bot65,"Герчик Румын (Everett)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","06:19:24","06:20:04",
Bot65,"Герчик Румын (Everett)",normal,1,Pending,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","06:20:09","N/A",
Bot66,"Архипп Мятый (Dirk)",easy,1,Active,"Dumpster Hiding","Dumpster Hiding: Objective #1","2","06:19:13","N/A",
[Not Spawned],"Джонатан Глазастый (Nathanael)",normal,1,,,,,,,
