Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot67,"Осип Горбунов",hard,14,Failed,"BP Depot","Zone fuel4","1","06:40:22","06:40:32",
Bot67,"Осип Горбунов",hard,14,Failed,"BP Depot","Zone fuel2","1","06:40:37","06:49:41",
Bot67,"Осип Горбунов",hard,14,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","06:49:46","06:50:29",
Bot67,"Осип Горбунов",hard,14,Active,"Tigr Safari","Zone place_peacemaker_002_N1","1","06:50:34","N/A",
Bot68,"Мирослав Зюганов",hard,2,Pending,"Storage","Storage: Objective #6","1","06:40:22","N/A",
Bot69,"Тихон Переверзев",hard,10,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","06:40:24","06:43:38",
Bot69,"Тихон Переверзев",hard,10,Active,"Golden Swag","Item Golden Zibbo lighter","1","06:43:39","N/A",
Bot70,"Ростислав Анасенко",hard,4,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","06:40:24","N/A",
Bot71,"Кондрат Воронин",hard,38,Pending,"Bullshit","Item Flash drive with fake info","1","06:40:26","N/A",
Bot72,"Всеслав Тычкин",hard,11,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","06:40:27","N/A",
Bot73,"Zachary Paro",normal,11,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","06:40:28","06:40:31",
Bot73,"Zachary Paro",normal,11,Failed,"Golden Swag","Item Golden Zibbo lighter","1","06:40:32","06:41:11",
[Not Spawned],"Ян Пичушкин",normal,2,,,,,,,
[Not Spawned],"Демиан Кораблин",normal,12,,,,,,,
[Not Spawned],"Корнил Шибалов",normal,12,,,,,,,
[Not Spawned],"Альвиан Овальный (Antonio)",hard,1,,,,,,,
[Not Spawned],"Федя Молоко (Reggie)",hard,1,,,,,,,
[Not Spawned],"Гурам Морковник (Sung)",hard,1,,,,,,,
[Not Spawned],"Илюха Чеклист (Игорь)",normal,1,,,,,,,
[Not Spawned],"Радж Яйчишка (Antone)",normal,1,,,,,,,
[Not Spawned],"Савва Сладкоежка (Tyrell)",normal,1,,,,,,,
[Not Spawned],"Дрон Дотер (Демиан)",normal,1,,,,,,,
[Not Spawned],"Анатолий Программист (Kareem)",easy,1,,,,,,,
[Not Spawned],"Пул Пух (Савва)",easy,1,,,,,,,
[Not Spawned],"Александр Полседьмого (Everett)",normal,1,,,,,,,
[Not Spawned],"Протасий Всемогущий (Mohammad)",impossible,1,,,,,,,
[Not Spawned],"Павел Грустный (Buster)",easy,1,,,,,,,
[Not Spawned],"Пися Белый (Савва)",normal,1,,,,,,,
[Not Spawned],"Виктор Травмат (Adan)",easy,1,,,,,,,
[Not Spawned],"Жора Злыдень (Богдан)",normal,1,,,,,,,
[Not Spawned],"Влад Бывалый (Abe)",normal,1,,,,,,,
[Not Spawned],"Гурам Кожемяка (Daron)",easy,1,,,,,,,
[Not Spawned],"Пантелеймон Злыдень (Jarod)",normal,1,,,,,,,
