Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Darrel Strachan",hard,16,Failed,"Pharmacist","Zone vaz_feld","1","07:53:21","07:54:40",
Bot1,"Darrel Strachan",hard,16,Failed,"Pharmacist","Item Carbon case","1","07:54:45","07:55:57",
Bot1,"Darrel Strachan",hard,16,Failed,"Pharmacist","Zone room114","1","07:56:02","07:56:39",
Bot1,"Darrel Strachan",hard,16,Completed,"Chemical - Part 2","Item Sealed letter with a TG logo","1","07:56:44","07:57:11",
Bot1,"Darrel Strachan",hard,16,Completed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","07:57:16","07:58:05",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","07:58:11","07:58:11",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","07:58:16","07:58:17",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","07:58:23","07:58:23",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","07:58:28","07:58:28",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","07:58:33","07:58:33",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","07:58:38","07:58:38",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","07:58:43","07:58:43",
Bot1,"Darrel Strachan",hard,16,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","07:58:48","08:00:04",
Bot2,"Mark Buss",hard,43,Failed,"Passage between Rocks","Passage between Rocks: Objective #1","1","07:53:22","07:54:11",
Bot3,"Marquis Montz",normal,23,Failed,"Pharmacist","Zone vaz_feld","1","07:53:22","07:53:51",
Bot4,"Hyman Biondi",normal,13,Failed,"Chemical - Part 1","Zone bomj_place","1","07:53:23","07:55:24",
Bot5,"Barney Lindo",normal,23,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","07:53:24","07:55:46",
Bot5,"Barney Lindo",normal,23,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","07:55:52","07:56:54",
Bot6,"Darren Rhoton",easy,17,Failed,"Pharmacist","Zone vaz_feld","1","07:53:26","07:55:55",
Bot6,"Darren Rhoton",easy,17,Failed,"Pharmacist","Item Carbon case","1","07:56:01","07:59:25",
Bot6,"Darren Rhoton",easy,17,Failed,"Pharmacist","Zone room114","1","07:59:30","07:59:33",
Bot6,"Darren Rhoton",easy,17,Completed,"Short Cut","Short Cut: Objective #1","1","07:59:38","08:00:02",
Bot6,"Darren Rhoton",easy,17,Failed,"Golden Swag","Item Golden Zibbo lighter","1","08:00:07","08:00:29",
Bot6,"Darren Rhoton",easy,17,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","08:00:34","08:06:43",
Bot7,"Аристарх Булыгин",easy,15,Failed,"Short Cut","Short Cut: Objective #1","1","07:53:27","07:54:57",
Bot7,"Аристарх Булыгин",easy,15,Completed,"Operation Aquarius - Part 1","Zone room206_water","1","07:55:02","07:57:30",
Bot7,"Аристарх Булыгин",easy,15,Failed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","07:57:35","07:59:03",
Bot7,"Аристарх Булыгин",easy,15,Completed,"Chemical - Part 2","Item Sealed letter with a TG logo","1","07:59:08","07:59:27",
Bot7,"Аристарх Булыгин",easy,15,Failed,"Pharmacist","Zone room114","1","07:59:33","08:00:12",
Bot7,"Аристарх Булыгин",easy,15,Completed,"Pharmacist","Item Carbon case","1","08:00:17","08:01:13",
[Not Spawned],"Donny Pierson",easy,2,,,,,,,
[Not Spawned],"Craig Winstead",easy,13,,,,,,,
[Not Spawned],"Jerald Cousins",normal,10,,,,,,,
[Not Spawned],"Ростислав Макаронина (Nathanael)",hard,1,,,,,,,
[Not Spawned],"Толя Баклажан (Timmy)",easy,1,,,,,,,
[Not Spawned],"Шингис Боржоми (Bruce)",normal,1,,,,,,,
[Not Spawned],"Мишган Молоко (Елизар)",easy,1,,,,,,,
[Not Spawned],"Моня Снайлер (Rolf)",easy,1,,,,,,,
[Not Spawned],"Авдей Полседьмого (Delmer)",easy,1,,,,,,,
[Not Spawned],"Вадик Люгер (Mitch)",easy,1,,,,,,,
[Not Spawned],"Ваха Метанол (Руслан)",normal,1,,,,,,,
[Not Spawned],"Авксентий Упитыш (Esteban)",hard,1,,,,,,,
[Not Spawned],"Леха Дерзкий (Desh)",hard,1,,,,,,,
[Not Spawned],"Алик Кочерга (Maximo)",normal,1,,,,,,,
[Not Spawned],"Лаг Опасный (Isaiah)",easy,1,,,,,,,
[Not Spawned],"Джонни Слеза (Marshall)",easy,1,,,,,,,
[Not Spawned],"Артур Метанол (Laverne)",easy,1,,,,,,,
[Not Spawned],"Петька Зырь-труба (Devin)",normal,1,,,,,,,
[Not Spawned],"Терентий Кожемяка (Homer)",hard,1,,,,,,,
[Not Spawned],"Гога Неудачник (Tomas)",easy,1,,,,,,,
[Not Spawned],"Леня Седой (Rolf)",easy,1,,,,,,,
