Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot113,"Кирилл Кошкин",normal,17,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","20:34:22","20:34:25",
Bot113,"Кирилл Кошкин",normal,17,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","20:34:30","20:36:51",
Bot113,"Кирилл Кошкин",normal,17,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","20:36:57","20:38:07",
Bot113,"Кирилл Кошкин",normal,17,Failed,"Database - Part 1","Item IDEA cargo manifests","1","20:38:12","20:38:59",
Bot113,"Кирилл Кошкин",normal,17,Failed,"Database - Part 1","Item Goshan cargo manifests","1","20:39:04","20:39:48",
Bot113,"Кирилл Кошкин",normal,17,Active,"Database - Part 1","Item OLI cargo manifests","1","20:39:53","N/A",
Bot117,"Kristopher Romine",normal,13,Active,"OLI NE Office","OLI NE Office: Objective #1","1","20:34:22","N/A",
Bot111,"Alejandro Danko",easy,13,Completed,"IDEA Office","IDEA Office: Objective #1","2","20:34:22","20:38:46",
Bot111,"Alejandro Danko",easy,13,Completed,"IDEA Office","IDEA Office: Objective #3","1","20:38:51","20:39:54",
Bot111,"Alejandro Danko",easy,13,Completed,"IDEA Office","IDEA Office: Objective #2","3","20:40:00","20:40:55",
Bot111,"Alejandro Danko",easy,13,Failed,"IDEA North Bus","IDEA North Bus: Objective #1","1","20:41:00","20:41:16",
Bot111,"Alejandro Danko",easy,13,Pending,"Power Station","Power Station: Objective #1","2","20:41:21","N/A",
Bot115,"Antwan Her",easy,2,Completed,"OLI Loading Area","OLI Loading Area: Objective #1","1","20:34:22","20:37:09",
Bot115,"Antwan Her",easy,2,Completed,"OLI Loading Area","OLI Loading Area: Objective #2","1","20:37:14","20:39:21",
Bot115,"Antwan Her",easy,2,Completed,"OLI Loading Area","OLI Loading Area: Objective #5","1","20:39:26","20:40:00",
Bot115,"Antwan Her",easy,2,Completed,"OLI Loading Area","OLI Loading Area: Objective #3","1","20:40:06","20:40:16",
Bot115,"Antwan Her",easy,2,Completed,"OLI Loading Area","OLI Loading Area: Objective #4","1","20:40:21","20:40:43",
Bot115,"Antwan Her",easy,2,Active,"OLI NE Office","OLI NE Office: Objective #1","3","20:40:48","N/A",
Bot112,"Гордей Ермаков",normal,12,Completed,"IDEA Office","IDEA Office: Objective #3","1","20:34:22","20:36:31",
Bot112,"Гордей Ермаков",normal,12,Completed,"IDEA Office","IDEA Office: Objective #2","3","20:36:36","20:37:35",
Bot112,"Гордей Ермаков",normal,12,Completed,"IDEA Office","IDEA Office: Objective #1","2","20:37:40","20:37:59",
Bot112,"Гордей Ермаков",normal,12,Failed,"Power Station Switch","Power Station Switch: Objective #1","1","20:38:04","20:39:11",
Bot112,"Гордей Ермаков",normal,12,Failed,"Goshan North Office","Goshan North Office: Objective #2","1","20:39:12","20:39:14",
Bot112,"Гордей Ермаков",normal,12,Active,"Goshan North Office","Goshan North Office: Objective #1","1","20:39:19","N/A",
Bot114,"Wiley Christiano",normal,35,Failed,"Minibus","Zone place_merch_21_1","1","20:34:22","20:35:22",
Bot114,"Wiley Christiano",normal,35,Failed,"Minibus","Zone place_merch_21_3","1","20:35:27","20:38:25",
Bot118,"Neville Mchone",normal,10,Pending,"OLI Showroom East","OLI Showroom East: Objective #4","1","20:34:22","N/A",
Bot116,"Terence Dull",normal,4,Completed,"Emercom Tank","Emercom Tank: Objective #1","1","20:34:22","20:34:45",
Bot116,"Terence Dull",normal,4,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","20:34:50","20:38:07",
[Not Spawned],"Фёдор Кутузов",normal,16,,,,,,,
[Not Spawned],"Руслан Гарин",hard,38,,,,,,,
[Not Spawned],"Вадик Провокация (Cameron)",easy,1,,,,,,,
[Not Spawned],"Ванька Дудос (Hassan)",normal,1,,,,,,,
[Not Spawned],"Лев Небоскрёб (Elvin)",normal,1,,,,,,,
[Not Spawned],"Игорян Везунчик (Dexter)",normal,1,,,,,,,
[Not Spawned],"Аркадий Центровой (Willian)",normal,1,,,,,,,
[Not Spawned],"Володарчик Повидлыч (Homer)",easy,1,,,,,,,
[Not Spawned],"Порфирий Колобок (Lewis)",normal,1,,,,,,,
[Not Spawned],"Корнелий Кот (Antonia)",normal,1,,,,,,,
[Not Spawned],"Дед Тамада (Garland)",normal,1,,,,,,,
[Not Spawned],"Федосей Мультик (Jamie)",impossible,1,,,,,,,
[Not Spawned],"Аристарх Шкаф (Steven)",hard,1,,,,,,,
[Not Spawned],"Олег Топор (Weldon)",normal,1,,,,,,,
[Not Spawned],"Кот Сейсмолог (Cortez)",easy,1,,,,,,,
[Not Spawned],"Стёпа Мятый (Alex)",hard,1,,,,,,,
[Not Spawned],"Серега Фрол (Jeromy)",normal,1,,,,,,,
[Not Spawned],"Тима Сатанист (Angelo)",normal,1,,,,,,,
[Not Spawned],"Петро Бывалый (Clay)",easy,1,,,,,,,
[Not Spawned],"Тихон Шашлыки (Isaac)",normal,1,,,,,,,
[Not Spawned],"Слава Реилган (Stewart)",hard,1,,,,,,,
[Not Spawned],"Тимофей Сишарп (Saul)",easy,1,,,,,,,
[Not Spawned],"Платон Кочерга (Stacy)",easy,1,,,,,,,
