Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot19,"Казимир Загородный",easy,15,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","05:21:50","05:22:18",
Bot19,"Казимир Загородный",easy,15,Failed,"Farming - Part 1","Zone place_SADOVOD_01_1","1","05:22:23","05:24:20",
Bot20,"Станислав Изюмов",hard,10,Failed,"Bad Rep Evidence","Zone locked_office","1","05:21:50","05:23:52",
Bot21,"Пахан Елдак (Потап)",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","05:21:50","05:22:20",
Bot21,"Пахан Елдак (Потап)",easy,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","05:22:25","05:22:39",
Bot21,"Пахан Елдак (Потап)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","05:22:44","05:23:09",
Bot21,"Пахан Елдак (Потап)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","05:23:14","05:23:27",
Bot21,"Пахан Елдак (Потап)",easy,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","05:23:32","05:23:49",
Bot22,"Пров Потный (Bailey)",normal,1,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","05:21:50","05:21:57",
Bot22,"Пров Потный (Bailey)",normal,1,Failed,"Break Room","Break Room: Objective #1","1","05:22:02","05:22:08",
Bot23,"Вадик Гук (Terrence)",easy,1,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","05:22:10","05:22:23",
Bot23,"Вадик Гук (Terrence)",easy,1,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","05:22:28","05:22:44",
Bot24,"Пётр Бигмак (Antone)",hard,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","05:22:20","05:22:49",
Bot24,"Пётр Бигмак (Antone)",hard,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","05:22:55","05:23:11",
Bot24,"Пётр Бигмак (Antone)",hard,1,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","05:23:17","05:23:27",
Bot25,"Радж Плоскостопие (Micheal)",hard,1,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","05:23:10","05:23:41",
Bot26,"Пахан Покоцаный (Cyril)",hard,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","05:23:30","05:24:21",
Bot26,"Пахан Покоцаный (Cyril)",hard,1,Completed,"Med Tent","Med Tent: Objective #1","2","05:24:26","05:25:08",
Bot26,"Пахан Покоцаный (Cyril)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","05:25:13","05:25:44",
Bot26,"Пахан Покоцаный (Cyril)",hard,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","05:25:49","05:25:57",
Bot26,"Пахан Покоцаный (Cyril)",hard,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","05:26:02","05:26:31",
Bot27,"Гоги Горностай (Василий)",normal,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","05:24:00","05:24:17",
Bot27,"Гоги Горностай (Василий)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","05:24:22","05:24:52",
Bot27,"Гоги Горностай (Василий)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","05:24:58","05:25:26",
Bot27,"Гоги Горностай (Василий)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","05:25:31","05:25:59",
Bot27,"Гоги Горностай (Василий)",normal,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","05:26:04","05:27:03",
Bot28,"Кабан Разрядник (Hiram)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","05:24:01","05:24:17",
Bot28,"Кабан Разрядник (Hiram)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","05:24:22","05:24:55",
Bot28,"Кабан Разрядник (Hiram)",normal,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","05:25:00","05:26:28",
Bot28,"Кабан Разрядник (Hiram)",normal,1,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","05:26:33","05:27:03",
Bot28,"Кабан Разрядник (Hiram)",normal,1,Completed,"Break Room","Break Room: Objective #1","1","05:27:08","05:27:45",
Bot28,"Кабан Разрядник (Hiram)",normal,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","05:27:50","05:28:34",
Bot28,"Кабан Разрядник (Hiram)",normal,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","05:28:39","05:29:32",
Bot29,"Созон Почтальон (Freddy)",hard,1,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","05:29:32","05:30:03",
Bot29,"Созон Почтальон (Freddy)",hard,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","05:30:09","05:31:10",
